icao,iata,arrival_curfew_start,arrival_curfew_end,departure_curfew_start,departure_curfew_end
CYUL,YUL,0 days 02:30:00,0 days 10:00:00,0 days 03:00:00,0 days 10:00:00
EDDF,FRA,0 days 21:00:00,0 days 04:00:00,0 days 21:00:00,0 days 04:00:00
EDDH,HAM,0 days 21:00:00,0 days 04:00:00,0 days 21:00:00,0 days 04:00:00
EDDM,MUC,0 days 22:00:00,0 days 03:00:00,0 days 20:00:00,0 days 04:00:00
EDDS,STR,0 days 21:30:00,0 days 04:00:00,0 days 21:00:00,0 days 04:00:00
EDDT,TXL,0 days 21:30:00,0 days 04:00:00,0 days 21:00:00,0 days 04:00:00
EDDW,BRE,0 days 20:30:00,0 days 04:00:00,0 days 20:30:00,0 days 04:00:00
EGGW,LTN,0 days 22:00:00,0 days 05:00:00,0 days 22:00:00,0 days 05:00:00
EGHI,SOU,0 days 22:00:00,0 days 05:00:00,0 days 22:00:00,0 days 05:00:00
EGLL,LHR,0 days 22:30:00,0 days 05:00:00,0 days 22:30:00,0 days 05:00:00
EPWA,WAW,0 days 21:30:00,0 days 03:30:00,0 days 21:30:00,0 days 03:30:00
FEFF,BGF,0 days 22:00:00,0 days 05:00:00,0 days 22:00:00,0 days 05:00:00
LEBB,BIO,0 days 21:30:00,0 days 04:45:00,0 days 21:30:00,0 days 04:45:00
LEZL,SVQ,0 days 23:00:00,0 days 04:30:00,0 days 23:00:00,0 days 04:30:00
LFBD,BOD,0 days 21:00:00,0 days 04:00:00,0 days 21:00:00,0 days 04:00:00
LFBP,PUF,0 days 21:00:00,0 days 04:00:00,0 days 21:00:00,0 days 04:00:00
LFLL,LYS,0 days 20:15:00,0 days 04:15:00,0 days 20:00:00,0 days 04:00:00
LFML,MRS,0 days 21:15:00,0 days 04:15:00,0 days 22:45:00,0 days 04:00:00
LFMN,NCE,0 days 21:30:00,0 days 04:15:00,0 days 21:15:00,0 days 04:00:00
LFPG,CDG,0 days 21:30:00,0 days 04:15:00,0 days 21:15:00,0 days 04:00:00
LFPO,ORY,0 days 21:30:00,0 days 04:15:00,0 days 21:15:00,0 days 04:00:00
LFRS,NTE,0 days 20:30:00,0 days 03:00:00,0 days 20:30:00,0 days 03:00:00
LFSB,BSL,0 days 22:00:00,0 days 04:00:00,0 days 22:00:00,0 days 04:00:00
LIMF,TRN,0 days 21:00:00,0 days 04:00:00,0 days 21:00:00,0 days 04:00:00
LPPR,OPO,0 days 22:00:00,0 days 04:00:00,0 days 22:00:00,0 days 04:00:00
LPPT,LIS,0 days 22:00:00,0 days 04:00:00,0 days 22:00:00,0 days 04:00:00
LSGG,GVA,0 days 22:00:00,0 days 04:00:00,0 days 22:00:00,0 days 04:00:00
LSZH,ZRH,0 days 22:00:00,0 days 04:00:00,0 days 22:00:00,0 days 04:00:00
RJAA,NRT,0 days 05:00:00,0 days 12:00:00,0 days 05:00:00,0 days 12:00:00
